Company_Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Stage,Amount,Investment_year,Headquarter_City,Category,Categorised_stage
Imagimake,2011.0,Mumbai,Innovation management,An innovative play system to help children create their imagination,"Disha Katharani, Ravi Kumar","Roha Investment Managers, angel investor Saumil Shah",Pre-series A,0.5,2021,Mumbai,Other,Series A
MSMEx,2019.0,Andheri,EdTech,MSMEx connects micro and small Business Owners with curated Business Experts over live video.,"Amit Kumar, Vishal Kumar, Dilip Kumar, Khushboo Arora, Kumar Sambhav","TNF Ventures, Razorpay",Pre-series A,1.0,2021,Andheri,Education,Series A
RenewBuy,2015.0,Gurugram,Insuretech,Simplest way to renew car insurance. Get quote and insure car in couple of minutes,"Balachander Sekhar, Sandeep Nanda","Lok Capital, IIFL Asset Management",Series C,45.0,2021,Gurugram,Finance & FinTech,Series C
Kutumb,2020.0,Bangalore,Community platform,Kutumb is a social community enabler.,"Mohit Sharma, Naveen Dewangan, Vipul Allawadhi","Tiger Global Management, DST Global",Series A,26.0,2021,Bangalore,Technology & Software,Series A
Superplum,2019.0,Noida,AgriTech,Building India's most sophisticated platform for high quality fresh food,Shobhit Gupta,Marquee investors,Pre-series A,3.8,2021,Noida,Technology & Software,Series A
Upside AI,2017.0,Mumbai,FinTech,Upside AI on the thesis that technology will make better investing decisions than humans over the long term.,"Kanika Agarrwal, Nikhil Hooda, Atanuu Agarrwal",Endiya Partners,Seed,1.2,2021,Mumbai,Finance & FinTech,Seed
Skillmatics,2016.0,Mumbai,EdTech,Skillmatics develops learning games for pre-school and primary school kids aged under 10,Dhvanil Sheth,Sequoia Capital India,Series A,6.0,2021,Mumbai,Education,Series A
Bimaplan,2020.0,Bangalore,Insuretech,Affordable insurance for the next billion Indians,Vikul Goyal,"Roshan Abbas, Ritesh Malik",Pre-series A,2.5,2021,Bangalore,Finance & FinTech,Series A
Bueno Finance,2019.0,Gurugram,FinTech,"Bueno Gig Growth Technologies Pvt Ltd (""Bueno Finance"") is a financial services platform which aims is to help improve the financial health of customers.","Saurav Gandhi, Sandeep Arora","Goat Capital, JAM Fund",Seed,3.0,2021,Gurugram,Finance & FinTech,Seed
CityMall,2019.0,Gurugram,E-commerce,CityMall is a social e-commerce platform that sells lifestyle and curated products via peer-to-peer referrals on WhatsApp.,"Angad Kikla, Naisheel Verdhan","General Catalyst, Jungle Ventures",Series B,22.0,2021,Gurugram,E-commerce & Retail,Series B
BYJU’S,2011.0,Bangalore,EdTech,BYJU'S is an educational technology company that develops personalized learning programs for K-12 students.,"Byju Raveendran, Divya Gokulnath","Blackstone Group, ADQ",,50.0,2021,Bangalore,Education,Other
India Quotient,2012.0,Mumbai,Venture capitalist,India Quotient is a new type of early stage investor. We fund companies building disruptive businesses aimed at Indian consumers. We're,"Anand Lunia, Madhukar Sinha",,,64.0,2021,Mumbai,Finance & FinTech,Other
The Switch Fix,2019.0,Gurugram,HealthCare,The Switch Fix is a plant-based clean and conscious personal care brand for young urbans.,"Abhishek Kumar, Rhea Shukla","Venture Catalysts, 9unicorns",Seed,9e-06,2021,Gurugram,Healthcare & HealthTech,Seed
Anvidha Technologies,2020.0,Haryana,Tech Startup,Anvidha Technologies Private Limited is a HARYANA based private ltd.,Ganesh ranganathan iyer,,Seed,1.5,2021,Haryana,Other,Seed
CoffeeMug.ai,2020.0,New Delhi,Networking,"A video first global platform of senior professionals, connecting 1:1, virtually or over coffee, building a powerful, long-lasting relationship.","Abhishek Sharma, Dipti Tandon","Paradigm Shift Capital, AngelList India",Pre-seed,0.62,2021,New Delhi,Education,Seed
BigLeap,2015.0,Hyderabad,Recruitment,BigLeap Technologies & Solutions is focused on providing viable offshore consultancy services for enterprises looking to grow their business.,"Jamesh Johnson, Sainath Malkapuram Goud",Anup Kumar Yama,,0.6,2021,Hyderabad,Technology & Software,Other
Kazam,2020.0,Bangalore,EV startup,"Kazam provides end to end Electric Vehicle charging solutions for Office Spaces, Apartments, Restaurants, Shops","Akshay Shekhar, Vaibhav Tyagi",Inflection Point Ventures,Seed,0.9,2021,Bangalore,Energy,Seed
MYRE Capital,2020.0,Mumbai,Commercial Real Estate,Democratising Real Estate Ownership,Own rent yielding commercial properties,Aryaman Vir,$6000000,6.0,2021,Mumbai,Hospitality,Other
BimaPe,2020.0,Mumbai,FinTech,BimaPe demystifies Insurance and its Management for individuals and families across India. 'BimaPe Bharosa Karo',Rahul Mathur,"iSeed, Titan Capital",Pre-seed,0.5,2021,Mumbai,Finance & FinTech,Seed
Saarthi Pedagogy,2015.0,Ahmadabad,EdTech,"India's fastest growing Pedagogy company, serving to school as an academic growth partner and provide 360° solutions to schools on Academic Strategies",Pedagogy,Sushil Agarwal,$1000000,1.0,2021,Ahmedabad,Education,Other
Synapsica,2017.0,New Delhi,HealthCare,Artificial Intelligence tools to make quality diagnostic assessment available for all.,"Meenakshi Singh, Dr Cherian, Kuldeep Singh Chauhan","IvyCap Ventures, Endiya Partners",Series A,4.0,2021,New Delhi,Healthcare & HealthTech,Series A
Kwik Foods,2020.0,Gurugram,Food & Beverages,Kwik Foods is one of the fastest-growing D2C fresh food brands that is disrupting the food industry,"Prabhleen Kaur, Harshal Patel",9Unicorns,Seed,9e-06,2021,Gurugram,E-commerce & Retail,Seed
Plutomen,2016.0,Ahmadabad,AR startup,Plutomen Technologies Pvt Ltd founded in Nov 2016 is recognized start-up by DIPP in the field of Emerging Technology.,Keyur Bhalavat,"GUSEC Seed Fund, DeVX Venture Fund",,0.3,2021,Ahmedabad,Other,Other
GoMechanic,2016.0,Gurugram,Automotive,"GoMechanic is India’s leading multi-brand car service company, committed to making the car servicing experience hassle-free & easy for everyone.",Kushal Karwa,"Tiger Global, Sequoia",Series C,42.0,2021,Gurugram,Other,Series C
Grinntech,2013.0,Chennai,Automotive,"Grinntech is an investor backed, growth phase start-up, leading on all front of battery design for EV applications.","Nikhilesh Mishra, Puneet Jain",,,2.0,2021,Chennai,Other,Other
Nobel Hygiene,1999.0,Mumbai,HealthCare,"Nobel Hygiene is one of the leading disposable hygiene care products manufacturer in the country with an ISO 9001:2015 and CE certification, headquartered in Mumbai.",Johari Kamal,Quadria Capital,,60.0,2021,Mumbai,Healthcare & HealthTech,Other
Classplus,2017.0,Noida,EdTech,Classplus was born out of an urge to redefine classroom engagement in this country.,"Mukul Rustagi, Bhaswat Agarwal",Tiger Global,Series C,65.0,2021,Noida,Education,Series C
WINDO,2020.0,Hyderabad,E-commerce,Convert Instagram Page Into an Online Store in under 2-minutes. Create a free online store and automate your sales.,"Silus Reddy Chintapalli, Rakesh Vaddadi",Unicorn India Ventures,Seed,0.5,2021,Hyderabad,E-commerce & Retail,Seed
LegalPay,2019.0,New Delhi,FinTech,A tech focused B2B litigation finance company in India.,Kundan Shahi,Ashwini Kakkar. 9Unicorns,,9e-06,2021,New Delhi,Finance & FinTech,Other
GoBolt,2015.0,Gurugram,Logistics,"GoBOLT is a tech-logistics company operating in Line Haul & Short Haul Trucking, creating value through dis-intermediation, increased asset utilization and extensive use of technology.","Naitik Baghla, Parag Aggarwal, Sumit Sharma","Paragon Partners, Aavishkaar Capital",Series B,20.0,2021,Gurugram,Other,Series B
Loco,2018.0,Bangalore,Gaming,Loco is India's leading live game streaming app.,"Anirudh Pandita, Ashwin Suresh","Krafton, Lumikai",Seed,9.0,2021,Bangalore,Technology & Software,Seed
Auric,2017.0,New Delhi,HealthCare,Contemporary Beauty & Wellness Brand Based on Ayurveda,Deepak Agarwal,Venture Catalysts,Pre-series A,2.0,2021,New Delhi,Healthcare & HealthTech,Series A
Edmingle,2016.0,Bangalore,EdTech,Edmingle is a platform for all educators who want to launch their courses and sell them online.,Gaurav Doshi,"Indovation Fund, Mumbai Angels",,0.3,2021,Bangalore,Education,Other
Slice,2016.0,Bangalore,FinTech,"Slice is India's best credit card challenger to pay bills, manage expenses, and unlock rewards.",Rajan Bajaj,"Gunosy, Blume Ventures",,20.0,2021,Bangalore,Finance & FinTech,Other
Airblack,2019.0,Gurugram,IT startup,Airblack is on a mission to help people convert their passion to a livelihood.,"Videt Jaiswal, Vaibhav Raj Gupta","Edge Ventures, Elevation Capital",Series A,5.2,2021,Gurugram,Technology & Software,Series A
Nestroots,2016.0,Gurugram,Fashion,"Ottoman, Stool, Brass Kitchen Solutions, Masala Box, Roti Box, Bar Accessories and Many Gifting Options at Nestroots.",Chhavi Singh,We Founder Circle,Seed,0.1,2021,Gurugram,E-commerce & Retail,Seed
Detect Technologies,2016.0,Chennai,Automation,Detect Technologies is a leading Industrial AI company that is building innovative solutions and cutting-edge technology for the industrial ecosystem.,Daniel Raj David,"Accel Partners, Elevation Capital",,12.0,2021,Chennai,Other,Other
CredR,2015.0,Bangalore,Automotive,CredR is India’s Most Trusted Used Two-Wheeler Consumer Brand that leverages Technology & Processes to simplify the Used Two-wheeler Market.,Sasidhar Nandigam,"Yamaha Motors, Omidyar Network India, Eight Roads Ventures",,6.5,2021,Bangalore,Other,Other
Fourth Partner Energy,2010.0,Hyderabad,Solar,"Fourth Partner Energy is India’s leading distributed solar energy firm focusing on building and financing solar projects across the private and public sectors for commercial, industrial and institutional entities.",Vivek Subramanian,"Norfund, The Rise Fund",,125.0,2021,Hyderabad,Energy,Other
TABLT,2018.0,Kolkata,HealthCare,TABLT [Previously Sabse Sasta Dukaan] is one of India's most trusted online pharmacy dealing in medicines and other healthcare products.,Anish Agarwal,Siti Cable,Seies A,3.0,2021,Kolkata,Healthcare & HealthTech,Other
Hesa,2020.0,Hyderabad,IT startup,HESA is connecting Bharat with India and India with Bharat Phygitally. We are bridging the gap for the world’s largest customer base that resides in rural India.,"Vamsi Udayagiri, Hema Nandiraju","Venture Catalysts, 9unicorns",Seed,9e-06,2021,Hyderabad,Technology & Software,Seed
Nalanda Learning,2011.0,Kolkata,EdTech,India's 1st Online Preschool with Blended Learning Model,Tamal Mukherjee,Aavishkaar Capital,,5.0,2021,Kolkata,Education,Other
Knackit,2019.0,Bangalore,IT startup,Knackit is a talent sharing platform where users can showcase and monetize their artistry.,"Pranjal Kumar, Akanksha Bhardwaj",Jyoti Bansal,,0.1,2021,Bangalore,Technology & Software,Other
Treebo Hotels,2015.0,Bangalore,Hospitality,Treebo Hotels is India's most loved hotel chain in the premium-budget segment.,"Sidharth Gupta, Kadam Jeet Jain, Rahul Chaudhary",Accor,Series D,16.0,2021,Bangalore,Technology & Software,Series D
Raptee Energy,2019.0,Chennai,Automotive,Raptee Energy Inc. is looking to accelerate the transition to smart and sustainable mobility!,Phunith Kumar,,,0.7,2021,Chennai,Other,Other
Meddo,2018.0,Gurugram,HealthCare,Meddo (Arctern Healthcare) are re-defining how primary and secondary healthcare is provided in India through a connected care delivery platform.,"Saurabh Kochhar, Dr Naveen Nishchal","SRI Capital, Picus Capital, Alkemi Capital",,6.0,2021,Gurugram,Healthcare & HealthTech,Other
Supertails,2021.0,Bangalore,Pet care,Supertails is building a digital pet care platform which offers expert led healthcare services and products.,"Vineet Khanna, Varun Sadana, Aman Tekriwal","Saama Capital, DSG Consumer Partners",Pre-series A,2.6,2021,Bangalore,Healthcare & HealthTech,Series A
SkilloVilla,2020.0,Bangalore,EdTech,Mission to support young graduates in enhancing their learnings and transform them into big earnings.,"Ronak Agrawal, Rajat Agrawal, Deepak Kharol",Titan Capital,Seed,0.3,2021,Bangalore,Education,Seed
Cancer Clinics,2014.0,Telugana,HealthCare,"Cancer Helpline is a source of information and support, helping with all the things that people affected by cancer want and need.","Sonali Srungaram, Sasi Sunkara",Axilor,Pre-series A,1.5,2021,Telugana,Healthcare & HealthTech,Series A
Velocity,2020.0,Bangalore,FinTech,Velocity provides revenue-based-financing to online businesses. It aims to build the future of banking and financial services for new age businesses in India.,"Abhiroop Medhekar, Atul Khichariya, Saurav Swaroop",Valar Ventures,Seed,1.3,2021,Bangalore,Finance & FinTech,Seed
Happy Jars,2016.0,New Delhi,Food & Beverages,"Manufacture and retail a delicious range of all-natural nut butters, made without oil, sugar or preservatives.","Surabhi Talwar, Vikram Sekhar",Inflection Point Ventures,Seed,0.4,2021,New Delhi,E-commerce & Retail,Seed
Inshorts,2013.0,Noida,Media,Inshorts is a news aggregator application that collects and summarizes news based on user behavior and preferences.,"Anunay Pandey, Azhar Iqubal, Deepit Purkayastha","Addition, SIG Global India Fund",,40.0,2021,Noida,Healthcare & HealthTech,Other
ExtraaEdge,2015.0,Pune,MarTech,Data Science powered - Admission & Marketing CRM Automation for Education Enrolments,"Abhishek Ballabh, Sushil Mundada","9Unicorns Accelerator Fund, Indian Angel Network",Pre-series A,9e-06,2021,Pune,Other,Series A
Zotalabs,2019.0,Pune,Tech Startup,Zotalabs gives the power of Emerging Technology to your digital automation with our easy to use APIs.,"Nausherwan Shah, Wasim Khan",Alfa Ventures,Seed,1.25,2021,Pune,Other,Seed
Voiro,2014.0,Bangalore,Advertisement,Voiro is the first all-in-one revenue management suite exclusively for ad-led digital publishers across media.,"Anand Gopal, Kavita Shenoy",1Crowd,Pre-series A,1e-06,2021,Bangalore,Other,Series A
Dream Sports,2008.0,Mumbai,Gaming,"Dream Sports is India’s leading sports technology company with brands such as Dream11, FanCode, DreamX and DreamSetGo in its portfolio.","Bhavit Sheth, Harsh Jain","TCV, D1 Capital Partners, Falcon Edge.",,1e-06,2021,Mumbai,Technology & Software,Other
Safex Chemicals,1991.0,New Delhi,AgriTech,Safex Chemicals India Ltd is a leading company having a strong foothold in the Indian agrochemicals industry.,"SK Jindal, SK Chaudhary",BanyanTree Finance Pvt. Ltd.,,50.0,2021,New Delhi,Technology & Software,Other
Rupifi,2019.0,Bangalore,FinTech,Rupifi operates a software-as-a-service (SaaS) firm focussed on financial products.,Anubhav Jain,Quona Capital,Pre-series A,4.1,2021,Bangalore,Finance & FinTech,Series A
Moneyboxx,1994.0,Mumbai,FinTech,Moneyboxx Finance provides easy access to financing to the deserving micro enterprises.,Deepak Aggarwal,"Ashv Finance, BlackSoil Capital",Debt,3.0,2021,Mumbai,Finance & FinTech,Other
CityMall,2019.0,Gurugram,E-commerce,CityMall is a social e-commerce platform that sells lifestyle and curated products via peer-to-peer referrals on WhatsApp.,"Angad Kikla, Divij Goyal","WaterBridge Ventures, SAIF Partners",Series A,11.0,2021,Gurugram,E-commerce & Retail,Series A
Janani,2020.0,Bangalore,Heathcare,Janani.ai is a fertility care provider.,Nilay Mehrotra,"Sweta Rau, 9Unicorns Accelerator Fund",Seed,9e-06,2021,Bangalore,Healthcare & HealthTech,Seed
ReshaMandi,2020.0,Bangalore,AgriTech,India's 1st award winning technology led digital ecosystem for Silk,Utkarsh Apoorva,"Omnivore, Strive Ventures",Seed,1.7,2021,Bangalore,Technology & Software,Seed
Bombay Shaving Company,2015.0,New Delhi,Lifestyle,"Bombay Shaving Company is a consumer goods company that focuses on developing a range of shave care, beard care, and skincare products.","Deepu Panicker, Raunak Munot, Rohit Jaiswal, Shantanu Deshpande","Rajesh Sud, KULDEEP JAIN",,2.0,2021,New Delhi,Other,Other
DotPe,2019.0,Gurugram,FinTech,DotPe is a technology start-up providing a commerce and payments platform to offline enterprise businesses.,"Anurag Gupta, Gyanesh Sharma, Shailaz Nag","PayU, Google",Series A,27.0,2021,Gurugram,Finance & FinTech,Series A
Five Star Finance,1984.0,Chennai,FinTech,Five-Star is a Registered Non Banking Finance Company (NBFC) with Reserve Bank of India (RBI).,V K Ranganathan,"TPG Capital Asia, Epiq Capital",,234.0,2021,Chennai,Finance & FinTech,Other
BYJU'S,2011.0,Bangalore,EdTech,BYJU'S is an educational technology company that develops personalized learning programs for K-12 students.,"Byju Raveendran, Divya Gokulnath","BlackRock, Owl Ventures",Series F,460.0,2021,Bangalore,Education,Series F
Annapurna Finance,2009.0,Bhubaneswar,FinTech,Annapurna Microfinance is a microfinance venture that works for the financial and economic upliftment of underserved and unreached women.,Gobinda Chandra Pattnaik,"Asian Development Bank, Oman India Joint Investment Fund",,30.0,2021,Bhubaneswar,Finance & FinTech,Other
HealthPlix,2014.0,Bangalore,HealthCare,HealthPlix is a healthtech startup,"Raghuraj Sunder Raju, Sandeep Gudibanda","JSW Ventures, Kalaari Capital",Series B,13.5,2021,Bangalore,Healthcare & HealthTech,Series B
Masai School,2019.0,Bangalore,EdTech,Masai School is a job-oriented software training services.,Prateek Shukla,"Unitus Ventures, Omidyar Network India",Series A,5.0,2021,Bangalore,Education,Series A
Bewakoof,2011.0,Mumbai,D2C Fashion,"Society perceives Bewakoof as stupid.But what does society call Bewakoof?Often, it’s anything different or anything that’s done differently.",Prabhkiran Singh,"IvyCap Ventures, Pratithi Investment Trust",,4.0,2021,Mumbai,E-commerce & Retail,Other
IndiaLends,2014.0,New Delhi,FinTech,IndiaLends is a digital lending and borrowing marketplace.,"Gaurav Chopra, Mayank Kachhwaha","ACPI Investments, AdvantEdge Founders",,5.1,2021,New Delhi,Finance & FinTech,Other
Stelis Biopharma,2007.0,Bangalore,BioTechnology,Stelis Biopharma is a vertically integrated biopharmaceutical company.,Pudhucode Radhakrishnan Kannan,"RouteOne, Mankekar Family Office",Series B,195.0,2021,Bangalore,Technology & Software,Series B
Tilt,2016.0,Bangalore,Bike Rental,A bike-share for Indian campuses,Deepak VS,Y Combinator,,0.125,2021,Bangalore,Other,Other
NeoDove,2020.0,Jaipur,AI startup,"Neodove is an AI-powered, end to end tech-enabled customer communication and reporting solution.",Aprit Khandelwal,India Quotient,Seed,15.0,2021,Jaipur,Technology & Software,Seed
Zaara Biotech,2016.0,Kottayam,BioTechnology,India's First Algal-seaweed Biotechnology Students' Startup in collaboration with ICAR- Central Institute of fisheries and Technology,Najeeb Bin Haneef,TCN International Commerce,,10.0,2021,Kottayam,Technology & Software,Other
KreditBee,2018.0,Bangalore,FinTech,KreditBee is a digital lending platform developed to assist young professionals with their personal finances.,"Karthikeyan Krishnaswamy, Madhusudan Ekambaram, Wan Hong","Alpine Capital, PremjiInvest",Seed,75.0,2021,Bangalore,Finance & FinTech,Seed
True Balance,2014.0,Gurugram,FinTech,True Balance is a digital wallet that enables users to access utility bill payment and other financial products.,"Cheolwon Lee, Jay Yi, Martin Lee","Bon Angels Venture Partners, Daesung Private Equity",Debt,10.0,2021,Gurugram,Finance & FinTech,Other
Muvin,2020.0,Bangalore,FinTech,Youth Neobank enabling financial solutions for the teenagers and young people,Mukund V Rao,,Seed,1.0,2021,Bangalore,Finance & FinTech,Seed
Purplle,2011.0,Mumbai,Beauty products,"Purplle is an online store selling cosmetics, fragrances, skin, and hair care products.","Manish Taneja, Rahul Dash","Spring Marketing Capital, Verlinvest",,45.0,2021,Mumbai,Other,Other
FloBiz,2019.0,Bangalore,Tech Startup,India’s first neobusiness platform,Rahul Raj,Elevation Capital,Series A,10.0,2021,Bangalore,Other,Series A
Jeevam Health,2020.0,New Delhi,Health care,Jeevam Health is an Online Medical Clinic to Cure Root Cause of Chronic Issues in India.,"Kamran alam, Piyush vishwakarma",Y Combinator,Pre-seed,1.5,2021,New Delhi,Healthcare & HealthTech,Seed
OZiva,2016.0,Mumbai,Heathcare,OZiva is a plant-based Clean Nutrition Brand.,"Aarti, Mihir Gadani","F-Prime Capital, Eight Roads Ventures India",Series B,12.0,2021,Mumbai,Healthcare & HealthTech,Series B
Blive,2004.0,Panaji,Tourism,B: Live is an electric vehicle tourism startup.,"Samarth Kholkar, Sandeep Mukherjee","Mumbai Angels, DNA Entertainment Networks",Pre-series A,1.0,2021,Panaji,Hospitality,Series A
Nazara Technologies,2000.0,Mumbai,Gaming,"Nazara Technologies develops mobile content such as games, themes, wallpapers, and multimedia.",Nitish Mittersain,"Hornbill Capital Advisers, Plutus Wealth Management",,30.0,2021,Mumbai,Technology & Software,Other
Euler Motors,2018.0,New Delhi,Automotive,Electric Light Commercial Vehicle,Saurav Kumar,"ADB Ventures, Jetty Ventures",Series A,2.6,2021,New Delhi,Other,Series A
Pixxel,2019.0,Bangalore,SpaceTech,Pixxel is a Bengaluru-based space technology startup building a constellation of advanced earth imaging small satellites.,"Awais Ahmed, Kshitij Khandelwal","Techstars, Ryan Johnson",Seed,7.3,2021,Bangalore,Technology & Software,Seed
Prescinto,2016.0,Gujarat,Solar,Prescinto is the brain of a solar plant delivering Actionable Intelligence to Increase Generation.,Puneet Jaggi,"Venture Catalysts, 9Unicorns Accelerator Fund",Seed,9e-06,2021,Gujarat,Energy,Seed
MyGlamm,2015.0,Mumbai,Beauty products,MyGlamm is a direct-to-consumer brand of award winning European beauty products.,Darpan Sanghvi,Bessemer Venture Partners,Series C,20.0,2021,Mumbai,Other,Series C
Chirrup,2020.0,Bangalore,Gaming,Video integrated social-gaming platform,"Vipul Garg, Sourav Lashkari, Mehul Mittal","Titan Capital, iSeed, First Cheque, 3.0 Fund.",Pre-seed,3e-06,2021,Bangalore,Technology & Software,Seed
Policybazaar,2008.0,Gurugram,Insurance,PolicyBazaar designs an online life insurance and general insurance comparison portal that analyzes financial products.,"Alok Bansal, Avaneesh Nirjar, Manoj Sharma, Tarun Mathur, Yashish Dahiya","Falcon Edge Capital, White Oak Global Advisors",,75.0,2021,Gurugram,Other,Other
Livve Homes,2017.0,Bangalore,Rental space,"India's homegrown online portal, championing the region for a brighter, more exciting livvable future. Right from simply connecting owners and tenants and to managing everything in between",Maya Lakshman,Angel investors,,5.0,2021,Bangalore,Technology & Software,Other
Juicy Chemistry,2014.0,Coimbatore,HealthCare,Juicy Chemistry operates as an eponymous consumer brand.,"Megha, Pritesh Asher.",Akya Ventures,Series A,6.3,2021,Coimbatore,Healthcare & HealthTech,Series A
Svasti Microfinance,2008.0,Mumbai,FinTech,Svasti works with urban slum dwellers women microentrepreneurs.,"Arunkumar Padmanabhan, Narayanan Subramaniam","Kayenne Ventures, Nordic Microfinance Initiative",,4.0,2021,Mumbai,Finance & FinTech,Other
Nexprt,2020.0,New Delhi,Consulting,Nexprt Solutions offers end-to-end and 100% customized import solutions.,Harsha Vardhan K,Titan Capital,,2.0,2021,New Delhi,Other,Other
Ankur capital,2011.0,Mumbai,FinTech,Early stage venture capital fund focused on opportunities created by rising aspirations & digital access for next billion Indians.,Ritu Verma,,,40.0,2021,Mumbai,Finance & FinTech,Other
Indifi,2015.0,Gurugram,FinTech,Indifi Technologies is a digital lending platform that offers loans to those that have potential and intent.,"Alok Mittal, Siddharth Mahanot, Sundeep Sahi","Elevar Equity, Accel India",Debt,5.0,2021,Gurugram,Finance & FinTech,Other
Say Cheese,2020.0,Mumbai,FemTech,"Say Cheese is the first holistic women-happiness platform in India, focused to increase the happiness of women through personalized solutions",Rajpreet Kaur,,Seed,1.0,2021,Mumbai,Other,Seed
Indic Inspirations,2019.0,Pune,Cultural,"Indian Souvenirs online that reflect Indian tradition, culture & stories. Best for personal gifting and corporate gifting.",Sunil Jalihal,Marquee investors,,0.3,2021,Pune,Other,Other
Bimaplan,2020.0,Mumbai,FinTech,Affordable insurance for the next billion Indians,Vikul Goyal,"Titan Capital, Y Combinator",Seed,0.5,2021,Mumbai,Finance & FinTech,Seed
YAP,2014.0,Chennai,FinTech,YAP is the API Platform for Banking and Payments products in Asia. More than 200 Fintechs across Asia rely on YAP,"Madhusudanan R, Prabhu R","Jitendra Gupta, Better Capital",Series B,10.0,2021,Chennai,Finance & FinTech,Series B
Leap Finance,2019.0,Bangalore,FinTech,Leap Finance is a fintech startup for Indian students pursuing international higher education,Vaibhav Singh,Jungle Ventures,Series B,17.0,2021,Bangalore,Finance & FinTech,Series B
BlackSoil NBFC,2010.0,Mumbai,FinTech,BlackSoil Capital has transformed into an alternative NBFC and AIF Fund platform with an expertise to finance multiple sectors.,Mohinder Pal Bansal,,,3.0,2021,Mumbai,Finance & FinTech,Other
OYO,2012.0,Gurugram,Hospitality,OYO operates a branded network of hotels designed to offer standardized stay experiences.,Ritesh Agarwal,Hindustan Media Venture,,200.0,2021,Gurugram,Technology & Software,Other
Max Healthcare,2000.0,New Delhi,HealthCare,Max Healthcare is one of the leading chain of hospitals in India.,Analjit Singh,"Radiant Life Care Private Ltd, Life Healthcare",,140.0,2021,New Delhi,Healthcare & HealthTech,Other
4baseCare,2018.0,Bangalore,HealthTech,4baseCare develops a unified and patient-centric ecosystem to fight cancer.,"Hitesh Goswami, Kshitij Rishi","Mount Judi Ventures, growX Ventures, Season Two Ventures",Pre-series A,2.0,2021,Bangalore,Healthcare & HealthTech,Series A
Ezstays,2019.0,New Delhi,EdTech,"Ezstays is a leading student-life network, providing hostels and PG accommodation with top-tier living facilities at the best prices.","Vaibhav Khanna, Abhishek Kumar, Kumar Gaurav",Richard Rekhy,Seed,0.4,2021,New Delhi,Education,Seed
Stylework,2017.0,Gurugram,Co-working,Stylework is an unconventional co-working space aggregator that is going to change the way people work.,Sparsh Khandelwal,Inflection Point Ventures,Pre-series A,0.5,2021,Gurugram,Education,Series A
Kinara Capital,2011.0,Bangalore,FinTech,Kinara Capital is a financing company that provides flexible collateral-free loans to small business entrepreneurs.,Hardika Shah,"GAWA Capital, Gaja Capital",,6.0,2021,Bangalore,Finance & FinTech,Other
Riskcovry,2018.0,Bangalore,InsureTech,"Riskcovry is an ""Insurance-in-a-box” model offers a one-stop-shop platform to cater to any business's digital insurance needs.","Suvendu Prusty, Sorabh Bhandari, Vidya Sridharan, Chiranth Patil","Better Capital, Bharat Inclusion Seed Fund",Series A,5.0,2021,Bangalore,Finance & FinTech,Series A
NODWIN,2012.0,Gurugram,Gaming,NODWIN Gaming is a gaming solutions company and creator of e-sports events.,Gautam Virk,Krafton,,20.0,2021,Gurugram,Technology & Software,Other
Quizizz,2015.0,Bangalore,EdTech,Quizizz is a Education based startup,"Ankit Gupta, Deepak Joy Cheenath","Eight Roads Ventures India, Nexus Venture Partners",Series A,12.5,2021,Bangalore,Education,Series A
Ecom Express,2012.0,New Delhi,E-commerce,Ecom Express is an end-to-end technology-enabled logistics solutions provider to the Indian e-commerce industry.,"K. Satyanarayana, Manju Dhawan, Sanjeev Saxena, T. A. Krishnan","CDC Group, Partners Group",,20.0,2021,New Delhi,E-commerce & Retail,Other
Turtlemint,2015.0,Mumbai,InsureTech,Turtlemint is an online insurance platform that identifies and purchases appropriate insurance policies for consumers.,"Anand Prabhudesai, Dhirendra Mahyavanshi, Kunal Shah",Jungle Ventures,Series D,45.0,2021,Mumbai,Finance & FinTech,Series D
Captain Fresh,2019.0,Bangalore,Supply chain platform,Captain Fresh is a freshwater fish and seafood supply chain platform.,Utham Gowda,"Matrix Partners India, Ankur Capital",Seed,3.0,2021,Bangalore,Technology & Software,Seed
Northern Arc,2008.0,Chennai,FinTech,Northern Arc Capital (Formerly known as IFMR Capital) is a Non-Banking Finance Company.,Kshama Fernandes,"U.S. International Development Finance Corp, Asian Development Bank",Debt,10.0,2021,Chennai,Finance & FinTech,Other
Qoohoo,2020.0,Bangalore,Social platform,A platform for creators to build immersive connections with their fans and followers and monetize them.,"Vimal Singh Rathore, Aseem Gupta",Angel investors,Seed,0.8,2021,Bangalore,E-commerce & Retail,Seed
IGL,2016.0,Mumbai,Gaming,Indian Gaming League is the premier eSports platform in India.,Yash Pariani,"Hungama, Hindustan Talkies",,0.5,2021,Mumbai,Technology & Software,Other
AMPM,2018.0,Gurugram,E-commerce,24*7 convenience store,Shubham Gupta,Agility Venture Partners,,0.2,2021,Gurugram,E-commerce & Retail,Other
The ePlane,2016.0,Chennai,Drone,"Transforming the mobility landscape using aerial transport. Currently, we build drones for industrial applications","Pranjal Mehta, Satyanarayanan Chakravarthy","Speciale Invest, Farid Ahsan",Seed,1.0,2021,Chennai,Other,Seed
Cashify,2009.0,Gurugram,E-commerce,Cashify.in is an e-commerce platform for reselling used electronic gadgets.,"Amit Sethi, Mandeep Manocha, Nakul Kumar","Bessemer Venture Partners, CDH Investments",,15.0,2021,Gurugram,E-commerce & Retail,Other
