Company_Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Stage,Amount,Investment_year,Headquarter_City,Category,Categorised_stage
Stelis Biopharma,,"Bangalore, Karnataka, India",Biopharma,Stelis Biopharma is a vertically integrated biopharmaceutical company,,,Series B,100.0,2018,Bangalore,Other,Series B
Magicpin,,"Gurgaon, Haryana, India","E-Commerce, E-Commerce Platforms, Retail","Magicpin is a platform where users and merchants in a locality discover, interact, and transact.",,,Series C,8.902639222124007,2018,Gurgaon,E-commerce & Retail,Series C
Mech Mocha,,"Bangalore, Karnataka, India","Digital Entertainment, Mobile, PC Games",Mech Mocha is a mobile gaming startup based in Bangalore working towards ‘Making India Play’ .,,,Series B,3.53,2018,Bangalore,Technology & Software,Series B
Aye Finance,,"Gurgaon, Haryana, India","Finance, Financial Services, Small and Medium Businesses",Aye Finance provides financial services to micro and small businesses in Northern India.,,,Debt Financing,0.4546028538956939,2018,Gurgaon,Healthcare & HealthTech,Other
Aldopay,,"Chennai, Tamil Nadu, India",Mobile Payments,Mobile Wallet Focusing on hassle free checkout via Finger Print & OTP.,,,Seed,0.2,2018,Chennai,Technology & Software,Seed
Detect Technologies,,"Chennai, Tamil Nadu, India","Artificial Intelligence, Energy, Oil and Gas",Completely automated remote control system.,,,Series A,3.3,2018,Chennai,Energy,Series A
Signzy,,"Bangalore, Karnataka, India","Computer, FinTech, Risk Management, Software",Signzy are creating 'building blocks for a Digital Trust system.,,,Series A,1.5153428463189798,2018,Bangalore,Finance & FinTech,Series A
CashRich,,"Mumbai, Maharashtra, India","Apps, Financial Services, FinTech",A Mumbai-based fin-tech startup,,,Seed,1.0,2018,Mumbai,Finance & FinTech,Seed
CropIn Technologies,,"Bengaluru, Karnataka, India","Agriculture, Mobile","To discover, develop and deliver innovative solution in Agtech Space",,,Series B,3.6620785452708677,2018,Bengaluru,Technology & Software,Series B
Yaantra,,"Delhi, Delhi, India","Information Services, Information Technology, Mobile, Software","Yaantra, India’s leading mobile phone repair, refurbished & Unboxed centre In India",,,Debt Financing,2.0,2018,Delhi,Technology & Software,Other
TECHBOOZE,,"New Delhi, Delhi, India",Education,"Techbooze[1] ""AN OPEN FORUM"" is an educational enterprise, headquartered in India working across the country.",,,Seed,0.1,2018,New Delhi,Other,Seed
HealthifyMe,,"Bangalore, Karnataka, India","Apps, Fitness, Health Care, mHealth",HealthifyMe is an application that allows its users to achieve their fitness and weight loss goals from their computers and smartphones.,,,Series B,6.0,2018,Bangalore,Technology & Software,Series B
hoi foods,,"Gurgaon, Haryana, India","Food and Beverage, Food Delivery",India's first hotel dedicated food brand which promises great in room dining experience in budget hotels,,,Seed,0.22730142694784694,2018,Gurgaon,E-commerce & Retail,Seed
Perpule,,"Bangalore, Karnataka, India","Apps, Payments, Retail",Perpule is a self-checkout product for retail outlets to enhance the shopping experience of the customers.,,,Series A,2.146735698951888,2018,Bangalore,E-commerce & Retail,Series A
Royal Sundaram General Insurance Co. Limited,,"Kalpakkam, Tamil Nadu, India","Health Insurance, Insurance, Life Insurance","Royal Sundaram provides comprehensive insurance plans and innovative insurance solutions to individuals, families and businesses.",,,Corporate Round,210.0,2018,Kalpakkam,Healthcare & HealthTech,Other
CleanseCar,,"Bangalore, Karnataka, India",Automotive,CleanseCar is a company provides Washing and Repair Services.,,,Angel,0.22098749842151788,2018,Bangalore,Other,Other
DRIVEU,,"Bengaluru, Karnataka, India","Rental, Taxi Service, Travel",DriveU is a convenient and a quick way of getting on demand drivers for consumers and businesses,,,Venture - Series Unknown,0.44197499684303576,2018,Bengaluru,Other,Other
Spinny,,"Gurgaon, Haryana, India","E-Commerce, E-Commerce Platforms, Internet, Retail",Used cars marketplace in India. Ushering new era of transparency and convenience.,,,Series A,11.0,2018,Gurgaon,E-commerce & Retail,Series A
Med365 Healthcare,,"Jaipur, Rajasthan, India",Health Diagnostics,"Wellness, Specialised Testing, Healthcare at Home",,,Seed,0.3156964263164541,2018,Jaipur,Healthcare & HealthTech,Seed
Dunzo,,"Bangalore, Karnataka, India","Customer Service, Messaging, Mobile Apps, Personalization",Dunzo is an app that connects you with the nearest available delivery partner to pickup or deliver items for you.,,,Debt Financing,0.44197499684303576,2018,Bangalore,Technology & Software,Other
Mobile Premier League (MPL),,"Bengaluru, Karnataka, India","Gaming, iOS, Sports",Mobile Premier League(MPL) is a skill based E-Sports platform where you can play your favourite mobile games and win real cash always.,,,Series A,5.0,2018,Bengaluru,Technology & Software,Series A
WalMart India,,"Gurgaon, Haryana, India",Retail,"Wal-Mart India Private Limited is a wholly owned subsidiary of Walmart Stores Inc.,",,,Venture - Series Unknown,37.68,2018,Gurgaon,E-commerce & Retail,Other
Meesho,,"Bangalore, Karnataka, India","E-Commerce, E-Commerce Platforms, Internet, Mobile Apps, Social Media","Meesho is an online reseller network of housewives and SMBs, who sell products within their network on social channels.",,,Series C,50.0,2018,Bangalore,Technology & Software,Series C
BhaskarGuru,,"Bhopal, Madhya Pradesh, India",Search Engine,Bhaskarguru.com is your local search Engine,,,Seed,1.0,2018,Bhopal,Other,Seed
Gugu,,"Coimbatore, Tamil Nadu, India","Battery, Electric Vehicle, Energy, Renewable Energy, Transportation",Gugu designs & Sells all Electric Connected Two-wheeler's with Network of Open & Free Fast charging Stations across India.,,,Seed,0.25,2018,Coimbatore,Energy,Seed
Vizzbee,,"Bhopal, Madhya Pradesh, India","Artificial Intelligence, Drones, Navigation, Packaging Services, Robotics",Autonomous Drone Solutions for last mile delivery as well as search and rescue,,,Pre-Seed,0.02,2018,Bhopal,Technology & Software,Seed
BIGPHI TECHNOLOGIES PVT. LTD.,,"Bangalore, Karnataka, India",Fashion,BIGPHI technologies is the India's first technologically advanced apparel and wearable company.,,,Angel,0.9,2018,Bangalore,E-commerce & Retail,Other
Traveo Soft Pvt. Ltd.,,"Bangalore, Karnataka, India","Mobile, Software, Travel",AI based Business Travel & Expense management,,,Undisclosed,0.007576714231594899,2018,Bangalore,Technology & Software,Other
Lucideus,,"New Delhi, Delhi, India","Consulting, Cyber Security, Network Security","Lucideus is a cybersecurity company that offers its customers with consultancy, training, and solutions to counteract cyber-attacks.",,,Venture - Series Unknown,5.0,2018,New Delhi,Technology & Software,Other
GamingMonk,,"New Delhi, Delhi, India","eSports, Gaming, Video Games","GamingMonk is an eSports gaming company based out of New Delhi, India.",,,Series A,0.2525571410531633,2018,New Delhi,Technology & Software,Series A
Sukkhi Jewellery,,"Mumbai, Maharashtra, India","Fashion, Jewelry",Sukkhi Jewellery is a Contemporary fashion jewellery brand.,,,Venture - Series Unknown,3.220103548427832,2018,Mumbai,E-commerce & Retail,Other
INDwealth,,"Gurgaon, Haryana, India",Financial Services,INDwealth is an Artificial Intelligence (AI) powered wealth management company,,,Seed,13.890642757923981,2018,Gurgaon,Other,Seed
Medikabazaar,,"Mumbai, Maharashtra, India","B2B, Medical Device",India's largest medical and surgical supplies marketplace,,,Series A,5.0,2018,Mumbai,E-commerce & Retail,Series A
NIRA,,"Bangalore, Karnataka, India","Credit, Financial Services, FinTech, Lending","NIRA promotes financial inclusion by creating simple, transparent products that empower individuals to live a life of choice and freedom.",,,Seed,1.0,2018,Bangalore,Finance & FinTech,Seed
Duroflex Pvt. Ltd.,,"Alleppey, Kerala, India","Consumer Goods, Manufacturing",Duroflex Pvt. Ltd. operates as a dominant mattress player.,,,Private Equity,22.0,2018,Alleppey,Other,Other
Jetbrain Robotics,,"Gurgaon, Haryana, India","Health Care, Hospital, Medical, Robotics","Jetbrain Robotics is Hong Kong / Gurgaon based company, building advanced robotic transportation solutions for multi speciality hospitals.",,,Seed,0.07,2018,Gurgaon,Technology & Software,Seed
Healthkart,,"Gurgaon, Haryana, India","E-Commerce, Fitness, Health Care","The one stop shop for health, fitness & beauty.",,,Venture - Series Unknown,10.0,2018,Gurgaon,Technology & Software,Other
Indiabulls Ventures,,"Mumbai, Maharashtra, India","Financial Services, Venture Capital",Indiabulls Ventures Limited is one of India’s leading capital market companies providing securities and derivative broking services.,,,Post-IPO Equity,97.18398787725722,2018,Mumbai,Finance & FinTech,Other
Vistara,,"Haryana, Haryana, India",Aerospace,Vistara is a joint venture of Tata Sons Limited and Singapore Airlines Limited (SIA),,,Private Equity,126.27857052658165,2018,Haryana,Technology & Software,Other
